"icao","site","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","wind_dir_deg","wind_kts","gust_kts","vis_sm","altimeter_hpa","raw_text","fetched_at_utc","fetched_at_local"
"KY31","West Branch Arpt, MI, US",2025-09-24 03:35:00,"2025-09-23 23:35:00","VFR",16,16,0,0,NA,NA,1016.3,"METAR KY31 240335Z AUTO 00000KT 10SM SCT018 BKN038 OVC048 16/16 A3001 RMK AO2 T01600160",2025-09-24 03:46:17.675568,2025-09-23 23:46:17.675617
"KVTI","Vinton/Veterans Mem, IA, US",2025-09-24 03:35:00,"2025-09-24 03:35:00","VFR",18,17.4,30,5,NA,NA,1017,"METAR KVTI 240335Z AUTO 03005KT 10SM CLR 18/17 A3003 RMK AO2 T01800174",2025-09-24 03:46:17.682014,2025-09-23 23:46:17.682059
"KZER","Pottsville/Schuylkill Cnty, PA, US",2025-09-24 03:35:00,"2025-09-24 03:35:00","VFR",18,17,190,5,NA,7,1018,"METAR KZER 240335Z AUTO 19005KT 7SM SCT036 BKN044 18/17 A3006 RMK AO2",2025-09-24 03:46:17.688371,2025-09-23 23:46:17.688415
"KY23","Chetek Muni, WI, US",2025-09-24 03:35:00,"2025-09-24 03:35:00","VFR",17,14.6,30,3,NA,NA,1019.4,"METAR KY23 240335Z AUTO 03003KT 10SM CLR 17/15 A3010 RMK AO2 T01700146",2025-09-24 03:46:17.694754,2025-09-23 23:46:17.694797
"KX26","Sabastian Arpt, FL, US",2025-09-24 03:35:00,"2025-09-24 03:35:00","VFR",23,23,70,2,NA,NA,1017.7,"METAR KX26 240335Z AUTO 07002KT 10SM CLR 23/23 A3005 RMK AO2",2025-09-24 03:46:17.701118,2025-09-23 23:46:17.701166
"KXVG","Longville Muni, MN, US",2025-09-24 03:33:00,"2025-09-24 03:33:00","VFR",12,12,0,0,NA,NA,1020.4,"METAR KXVG 240333Z AUTO 00000KT 10SM CLR 12/12 A3013 RMK AO2",2025-09-24 03:46:17.707483,2025-09-23 23:46:17.707526
"KWLD","Winfield/Strother Fld, KS, US",2025-09-24 03:22:00,"2025-09-23 22:22:00","MVFR",20,18.3,360,7,NA,NA,1016.3,"SPECI KWLD 240322Z AUTO 36007KT 10SM BKN015 20/18 A3001 RMK AO2 T02000183",2025-09-24 03:46:17.713895,2025-09-23 23:46:17.71394
"KWRI","McGuire AFB, NJ, US",2025-09-24 03:18:00,"2025-09-23 23:18:00","VFR",22,20,240,3,NA,NA,1016.3,"SPECI KWRI 240318Z 24003KT 10SM CLR 22/20 A3001 RMK AO2A RAE18 SLP161",2025-09-24 03:46:17.720253,2025-09-23 23:46:17.720297
"KVSF","Springfield/Hartness State Arpt, VT, US",2025-09-24 03:18:00,"2025-09-23 23:18:00","LIFR",17.2,16.7,0,0,NA,1.25,1017.4,"SPECI KVSF 240318Z AUTO 00000KT 1 1/4SM BR OVC002 17/17 A3004 RMK AO2 T01720167",2025-09-24 03:46:17.726516,2025-09-23 23:46:17.726558
"KVKS","Vicksburg Arpt, MS, US",2025-09-24 03:15:00,"2025-09-23 22:15:00","VFR",26,25,190,4,NA,NA,1015,"METAR KVKS 240315Z AUTO 19004KT 10SM BKN042 BKN100 26/25 A2997 RMK A01",2025-09-24 03:46:17.732853,2025-09-23 23:46:17.732897
"KY50","Wautoma Muni, WI, US",2025-09-24 02:56:00,"2025-09-24 02:56:00","VFR",17.2,16.1,0,0,NA,NA,1018,"METAR KY50 240256Z AUTO 00000KT 10SM BKN065 BKN085 17/16 A3006 RMK AO2 SLP174 60000 T01720161 51014 $",2025-09-24 03:46:17.739208,2025-09-23 23:46:17.739252
"KVIS","Visalia Muni, CA, US",2025-09-24 02:56:00,"2025-09-23 19:56:00","VFR",27.8,18.9,0,0,NA,NA,1008.5,"METAR KVIS 240256Z AUTO 00000KT 10SM CLR 28/19 A2978 RMK AO2 SLP084 T02780189 53007 $",2025-09-24 03:46:17.745592,2025-09-23 23:46:17.745637
"KVPZ","Valparaiso/Port Cnty, IN, US",2025-09-24 02:56:00,"2025-09-23 21:56:00","MVFR",19.4,18.9,0,0,NA,5,1015.7,"METAR KVPZ 240256Z AUTO 00000KT 5SM BR CLR 19/19 A2999 RMK AO2 SLP152 6//// T01940189 51010 PNO $",2025-09-24 03:46:17.752025,2025-09-23 23:46:17.752068
"KWMC","Winnemucca Muni, NV, US",2025-09-24 02:56:00,"2025-09-23 19:56:00","VFR",15,-10.6,100,6,NA,NA,1021.4,"METAR KWMC 240256Z AUTO 10006KT 10SM CLR 15/M11 A3016 RMK AO2 SLP193 T01501106 53004",2025-09-24 03:46:17.7586,2025-09-23 23:46:17.758644
"KWJF","Lancaster/Fox Arfld, CA, US",2025-09-24 02:56:00,"2025-09-23 19:56:00","VFR",27.2,12.8,240,12,NA,NA,1013.3,"METAR KWJF 240256Z 24012KT 10SM CLR 27/13 A2992 RMK AO2 SLP116 T02720128 53016",2025-09-24 03:46:17.776278,2025-09-23 23:46:17.776326
"KWWD","Wildwood/Cape May Cnty, NJ, US",2025-09-24 02:56:00,"2025-09-23 22:56:00","VFR",22.2,18.3,190,6,NA,NA,1017,"METAR KWWD 240256Z AUTO 19006KT 10SM CLR 22/18 A3003 RMK AO2 RAE01 SLP169 P0000 60000 T02220183 51007",2025-09-24 03:46:17.783221,2025-09-23 23:46:17.783267
"KYKN","Yankton/Gurney Muni, SD, US",2025-09-24 02:56:00,"2025-09-23 21:56:00","VFR",15.6,13.3,340,7,NA,NA,1019.4,"METAR KYKN 240256Z AUTO 34007KT 10SM CLR 16/13 A3010 RMK AO2 SLP204 T01560133 53013",2025-09-24 03:46:17.789884,2025-09-23 23:46:17.789927
